# 第2章选择数据文件 - 深海探索
# 格式: 故事ID|选择文本|下一个故事ID|金币消耗|金币奖励|生命消耗|生命奖励|经验奖励|要求|是否可用

# 从第1章连接到第2章
story_1_30|驶向远方的迷雾|story_2_31|0|0|0|0|20||true

# 第2章内部选择
story_2_31|小心地驶入迷雾|story_2_32|0|0|0|0|15||true
story_2_31|绕过迷雾，寻找其他路线|story_1_10|0|0|0|0|10||true

story_2_32|准备战斗|story_2_33|0|0|0|0|20||true
story_2_32|尝试逃跑|story_1_10|0|0|5|0|5||true

story_2_33|使用燧发枪攻击|story_2_34|0|0|10|0|50||true
story_2_33|尝试用爪钩攻击|story_2_34|0|0|5|0|30||true

story_2_34|上岛探索|story_2_35|0|0|0|0|30||true
story_2_34|继续航行|story_1_10|0|0|0|0|20||true

story_2_35|进入古塔|story_2_36|0|0|0|0|25||true
story_2_35|在岛上休息|story_2_38|0|0|0|20|15||true

story_2_36|爬向塔顶|story_2_37|0|0|0|0|35||true
story_2_36|离开古塔|story_2_35|0|0|0|0|10||true

story_2_37|触摸水晶|story_2_38|0|0|0|0|50||true
story_2_37|不要触摸，离开|story_2_38|0|0|0|0|20||true

story_2_38|开始新的航程|story_3_39|0|0|0|0|40||true
story_2_38|在岛上多休息一天|story_2_35|0|0|0|30|25||true
