# 第5章选择数据文件 - 海怪之王
# 格式: 故事ID|选择文本|下一个故事ID|金币消耗|金币奖励|生命消耗|生命奖励|经验奖励|要求|是否可用

# 从第4章连接到第5章
story_4_51|立即离开岛屿|story_5_52|0|0|0|0|50||true

# 第5章内部选择
story_5_52|准备迎战|story_5_53|0|0|0|0|40||true
story_5_52|尝试逃跑|story_5_53|0|0|10|0|20||true

story_5_53|勇敢面对海怪之王|story_5_54|0|0|0|0|60||true
story_5_53|寻找逃跑的机会|story_5_54|0|0|5|0|30||true

story_5_54|使用海神三叉戟的力量|story_5_55|0|0|0|0|80||true
story_5_54|依靠自己的实力战斗|story_5_55|0|0|20|0|50||true

story_5_55|全力发动海啸冲击|story_5_56|0|0|30|0|100||true
story_5_55|保守战斗，寻找弱点|story_5_56|0|0|15|0|80||true

story_5_56|接受英雄的荣耀|story_5_57|0|0|0|0|70||true
story_5_56|保持低调，继续探索|story_5_57|0|0|0|0|50||true

story_5_57|前往新的海域探险|story_6_58|0|0|0|0|60||true
story_5_57|返回港口，享受英雄待遇|story_1_10|0|0|0|50|40||true
