# 第5章数据文件
# 格式: 场景号|标题|内容|类型|是否结局
# 用 | 分隔字段，用 \n\n 表示段落分隔

41|浸水的宝箱 - 场景41|这次钓了一个多小时，天色都开始变暗了。\n\n第一个夜晚即将到来。\n\n你现在饥肠辘辘，散落在一旁的长腿沙丁鱼在你眼中变得可口起来。\n\n但吃这种鱼....大概率会掉理智。\n\n除非万不得已，你并不是很想吃，而且这船上，并也没有火炉，只能生吃....\n\n浮标抖动，你立刻有了精神。\n\n你用力一拉，一条黑色的鱼被拉了上来。\n\n这次的鱼没大长腿，全是尖刺，体表黏糊糊的，像水肿的黏膜，刚掉在甲板上，那些黏膜就破掉了，流出黑色腥臭的脓液。|NORMAL|true

42|浸水的宝箱 - 场景42|【这鱼很恶心，你理智下降2】\n\n你还没用长矛扎它，这鱼就抢先一步断了气。\n\n【名称：囊肿刺豚】\n\n【种类：食物】\n\n【简介：深渊鱼类，它的体液含有剧毒，正常人不会吃它的，除非....不想活了。】\n\n“有毒？”\n\n你不敢上手，用长矛将其刺穿，丢入了船舱。\n\n同时，你还刻意把多刺了几次，直到把矛尖染成黑色，变成了一把剧毒木矛。\n\n天色渐暗，离天黑只剩不到一小时了。\n\n系统强调过，夜晚会有危险，所以你并不打算在晚上钓鱼。|NORMAL|true

43|浸水的宝箱 - 场景43|可就在你收起钓竿，准备回船长室时，海面突然飘过一个特殊物体。\n\n那是一个箱子，确切来说是一个宝箱，只有公文包大小，从梦魇号侧面飘过。\n\n你心头一紧，立刻来到船舵前，调转船头，追向那宝箱。\n\n这机遇，可绝对不能错过了！\n\n你操控船头的爪钩，抓向宝箱。\n\n可这宝箱却像活物一般，滑不溜秋，不断闪躲。\n\n废了不少功夫，你才把宝箱抓了上来，立刻跑进船舱查看。\n\n【名称：浸水的腐木宝箱】\n\n【种类：宝箱】\n\n【简介：这或许不是你想要的那种宝箱】|NORMAL|true

44|浸水的宝箱 - 场景44|你留了个心眼，一手持燧发枪对准宝箱，用长矛将其挑开。\n\n里面装着的....是一个死人头，没有头发，皮肤呈灰白色，似乎有一层粘液附着在上面。\n\n刚打开，这死人头就有了反应，睁开自己浑浊的眼眸，开始说话。\n\n“先生，能不能耽搁您几分钟，容我给您介绍一下全知全能的主？”\n\n【你不能理解它的话，理智下降5点】\n\n你头皮发麻，身体微颤。\n\n“先生，能不能...”\n\n下一瞬，这人头跳了出来，你这才看清它的真身，|NORMAL|true

45|浸水的宝箱 - 场景45|那是一条章鱼，只是脑袋换成了人头，下面是一堆扭曲的触须。\n\n它正朝你跳来，伸展触须，露出底部鸟嘴一般的利齿，似乎想咬你，可等待它的是...\n\n“嘭！”\n\n枪口火花四溅，并没哑火。\n\n沉闷的枪声响起，像怪物的低吼。\n\n这章鱼炸开了花，变成一堆碎肉。\n\n【听见古怪的枪声，你的理智下降3。】\n\n你感觉心底好似涌起了一股郁火，有点想吐，于是立刻查看自己的状态。\n\n理智：88/100\n\n精力：62/100\n\n气血：100/100|COMBAT|true

