# 第1章选择数据文件 - 优化版本
# 支流汇入主流，确保故事连贯性和逻辑性
# 格式: 故事ID|选择文本|下一个故事ID|金币消耗|金币奖励|生命消耗|生命奖励|经验奖励|要求|是否可用

# story_1_18 的选择：航海日志详细规则
story_1_18|翻到第三页，查看自己的属性详情|story_1_19|0|0|0|0|10||true
story_1_18|合上手册，开始探索船舱|story_1_26|0|0|0|0|5||true
story_1_18|继续仔细阅读规则|story_1_18|0|0|0|0|5||true
story_1_18|检查手册的其他页面|story_1_20|0|0|0|0|8||true

# story_1_19 的选择：属性详情
story_1_19|继续往后翻，查看理智和天赋详情|story_1_20|0|0|0|0|15||true
story_1_19|合上手册，开始探索船舱|story_1_26|0|0|0|0|10||true
story_1_19|仔细研究自己的属性|story_1_19|0|0|0|0|8||true
story_1_19|回到前面重新阅读规则|story_1_18|0|0|0|0|5||true

# story_1_20 的选择：理智与天赋
story_1_20|继续往后翻，查看聊天频道|story_1_21|0|0|0|0|10||true
story_1_20|合上手册，开始探索船舱|story_1_26|0|0|0|0|5||true
story_1_20|仔细研究天赋能力|story_1_20|0|0|0|0|12||true
story_1_20|回到属性页面再次确认|story_1_19|0|0|0|0|8||true

# story_1_21 的选择：世界聊天
story_1_21|继续观察聊天，收集更多情报|story_1_22|0|0|0|0|15||true
story_1_21|合上手册，开始行动|story_1_26|0|0|0|0|10||true
story_1_21|尝试发言与其他人交流|story_1_21|0|0|0|0|12||true

# story_1_22 的选择：情报收集
story_1_22|继续观察聊天，了解装备信息|story_1_23|0|0|0|0|20||true
story_1_22|合上手册，开始探索船舱|story_1_26|0|0|0|0|15||true
story_1_22|分析收集到的信息|story_1_22|0|0|0|0|10||true

# story_1_23 的选择：装备发现
story_1_23|继续观察聊天，了解船只差异|story_1_24|0|0|0|0|15||true
story_1_23|开始寻找自己船上的装备|story_1_26|0|0|0|0|25||true
story_1_23|记录装备信息|story_1_22|0|0|0|0|12||true

# story_1_24 的选择：船只差异
story_1_24|继续观察聊天，了解公平性问题|story_1_25|0|0|0|0|10||true
story_1_24|合上手册，检查自己的船只|story_1_26|0|0|0|0|20||true
story_1_24|分析船只差异的原因|story_1_22|0|0|0|0|15||true

# story_1_25 的选择：公平性质疑
story_1_25|合上手册，检查自己的船只|story_1_26|0|0|0|0|15||true
story_1_25|开始准备出海|story_1_30|0|0|0|0|10||true
story_1_25|继续观察聊天，等待更多信息|story_1_22|0|0|0|0|5||true

# story_1_26 的选择：准备出海
story_1_26|拿起燧发枪，仔细检查|story_1_27|0|0|0|0|20||true
story_1_26|先不碰武器，继续搜索|story_1_29|0|0|0|0|10||true

# story_1_27 的选择：武器获得
story_1_27|仔细阅读纸条|story_1_28|0|0|0|0|15||true
story_1_27|先收起纸条，继续搜索|story_1_29|0|0|0|0|10||true

# story_1_28 的选择：警告纸条
story_1_28|立即检查床底下的箱子|story_1_29|0|0|0|0|20||true
story_1_28|先把纸条收好，再搜索|story_1_29|0|0|0|0|15||true

# story_1_29 的选择：补给发现
story_1_29|收拾好物品，准备出海|story_1_30|0|0|0|0|25||true
story_1_29|继续搜索船舱其他地方|story_1_26|0|0|0|0|15||true
story_1_29|回到甲板，观察周围环境|story_1_21|0|0|0|0|12||true

# story_1_30 的选择：准备出海（第一章结尾）
story_1_30|立即启航，开始冒险|story_1_30|0|0|0|0|30||true
story_1_30|再次检查准备工作|story_1_26|0|0|0|0|15||true
story_1_30|观察海面情况|story_1_21|0|0|0|0|10||true
story_1_30|回到船舱做最后准备|story_1_27|0|0|0|0|12||true
story_1_30|查看航海手册的其他内容|story_1_18|0|0|0|0|8||true
story_1_30|与其他玩家交流|story_1_22|0|0|0|0|10||true


