# 第2章数据文件 - 深海探索
# 格式: 场景号|标题|内容|类型|是否结局

31|深海迷雾|你驾驶着破旧的木船继续航行，远处出现了一片浓厚的迷雾。\n\n迷雾中隐约传来奇怪的声音，像是有什么东西在水中游动。\n\n你想起了航海日志中的警告：'要小心夜晚，当心雾气'。\n\n现在虽然是白天，但这片迷雾看起来并不寻常。\n\n你需要做出选择：是绕过这片迷雾，还是勇敢地穿越过去？|NORMAL|false

32|雾中异响|你决定小心地驶入迷雾。\n\n能见度急剧下降，你几乎看不到十米外的景象。\n\n突然，船底传来了'咚咚'的撞击声，好像有什么东西在撞击船体。\n\n你紧握着燧发枪，心跳加速。\n\n水面上开始出现奇怪的波纹，仿佛有巨大的生物在船底游过。\n\n【理智-5】|HORROR|false

33|海怪现身|一个巨大的触手突然从水中伸出，重重地拍在甲板上！\n\n这是一只巨大的海怪，它的眼睛如灯笼般发光，盯着你。\n\n【遭遇：深海章鱼怪】\n\n【等级：2级】\n\n【生命值：150/150】\n\n【攻击力：25】\n\n【特殊能力：触手缠绕，墨汁喷射】\n\n海怪发出低沉的咆哮声，准备发动攻击！|COMBAT|false

34|战斗胜利|经过激烈的战斗，你成功击败了海怪！\n\n【获得经验：200】\n\n【获得金币：100】\n\n【获得物品：海怪触手 x2】\n\n【获得物品：深海珍珠 x1】\n\n海怪的尸体慢慢沉入海底，周围的迷雾也开始散去。\n\n你发现前方出现了一座神秘的小岛。|VICTORY|false

35|神秘岛屿|这座小岛看起来无人居住，但岛上有一些古老的建筑遗迹。\n\n你将船停靠在岸边，准备上岛探索。\n\n岛上长满了奇异的植物，空气中弥漫着淡淡的魔法气息。\n\n在岛屿中央，你看到了一座古老的石塔。\n\n塔顶闪烁着微弱的蓝光。|EXPLORATION|false

36|古塔探索|你走进古塔，发现里面有一个螺旋楼梯通向塔顶。\n\n墙壁上刻满了古老的符文，散发着神秘的光芒。\n\n在塔的一层，你发现了一个宝箱。\n\n【获得：古老的航海图 x1】\n\n【获得：魔法罗盘 x1】\n\n【获得：治疗药水 x3】\n\n这些物品对你的航海之旅将非常有用。|TREASURE|false

37|塔顶秘密|你爬到塔顶，发现这里有一个古老的传送法阵。\n\n法阵中央放着一块发光的水晶。\n\n当你触摸水晶时，脑海中突然出现了一些画面：\n\n一个古老的文明，强大的海洋法师，还有一场毁灭性的战争。\n\n【获得：远古记忆碎片】\n\n【理智+10】\n\n你似乎了解了这个世界的一些秘密。|REVELATION|false

38|离开岛屿|你带着新获得的物品和知识离开了神秘岛屿。\n\n魔法罗盘指向了一个新的方向，那里似乎有更多的秘密等待发现。\n\n你的船现在装备更加齐全，你也变得更加强大。\n\n但你知道，这只是冒险的开始。\n\n更大的挑战还在前方等待着你。|CHAPTER_END|true
