# 第3章选择数据文件 - 商人与交易
# 格式: 故事ID|选择文本|下一个故事ID|金币消耗|金币奖励|生命消耗|生命奖励|经验奖励|要求|是否可用

# 从第2章连接到第3章
story_2_38|向商船驶去|story_3_39|0|0|0|0|20||true

# 第3章内部选择
story_3_39|登上商船交易|story_3_40|0|0|0|0|25||true
story_3_39|礼貌拒绝，继续航行|story_1_10|0|0|0|0|10||true

story_3_40|购买燧发手枪|story_3_41|500|0|0|0|30|gold>=500|true
story_3_40|购买神秘地图|story_3_41|1000|0|0|0|50|gold>=1000|true
story_3_40|只是看看，不买|story_3_41|0|0|0|0|15||true

story_3_41|与商人联手对抗海盗|story_3_42|0|0|0|0|40||true
story_3_41|趁乱逃跑|story_1_10|0|0|0|0|5||true
story_3_41|尝试与海盗谈判|story_3_42|0|0|0|0|20||true

story_3_42|全力战斗|story_3_43|0|0|15|0|60||true
story_3_42|保守战斗|story_3_43|0|0|5|0|40||true

story_3_43|接受商人的礼物|story_3_44|0|0|0|0|35||true
story_3_43|礼貌拒绝礼物|story_3_44|0|0|0|0|25||true

story_3_44|询问更多信息|story_3_45|0|0|0|0|30||true
story_3_44|立即告别|story_3_45|0|0|0|0|20||true

story_3_45|前往宝藏岛|story_4_46|0|0|0|0|45||true
story_3_45|继续探索其他海域|story_1_10|0|0|0|0|25||true
