# 第4章选择数据文件 - 宝藏岛探险
# 格式: 故事ID|选择文本|下一个故事ID|金币消耗|金币奖励|生命消耗|生命奖励|经验奖励|要求|是否可用

# 从第3章连接到第4章
story_3_45|前往宝藏岛|story_4_46|0|0|0|0|45||true

# 第4章内部选择
story_4_46|立即进入丛林|story_4_47|0|0|0|0|30||true
story_4_46|先在海滩休息，准备装备|story_4_47|0|0|0|20|20||true

story_4_47|使用武器攻击猛兽|story_4_48|0|0|10|0|50||true
story_4_47|尝试绕过猛兽|story_4_48|0|0|5|0|30||true

story_4_48|按照太阳-月亮-星星的顺序|story_4_49|0|0|0|0|40||true
story_4_48|按照星星-月亮-太阳的顺序|story_4_46|0|0|5|0|10||true
story_4_48|随机尝试|story_4_46|0|0|10|0|5||true

story_4_49|直接攻击守护者|story_4_50|0|0|20|0|80||true
story_4_49|先观察守护者的攻击模式|story_4_50|0|0|10|0|60||true

story_4_50|收集所有宝藏|story_4_51|0|0|0|0|60||true
story_4_50|只拿最重要的物品|story_4_51|0|0|0|0|40||true

story_4_51|立即离开岛屿|story_5_52|0|0|0|0|50||true
story_4_51|在岛上再探索一下|story_4_46|0|0|0|0|30||true
