# 第8章数据文件
# 格式: 场景号|标题|内容|类型|是否结局
# 用 | 分隔字段，用 \n\n 表示段落分隔

77|怪物扭蛋机 - 场景77|你后半夜几乎没睡。\n\n见天亮了，你索性直接起床，将床褥下的几根烂骨头丢进床底。\n\n都这么久了，这船长骸骨应该是死透了。\n\n一夜过后，你像变了个人。\n\n脸色苍白，同时也有了很深的黑眼圈，眼里全是血丝。\n\n刚走出船长室，你就发现船头甲板多出了一尊....塑像？\n\n那是一个卡通章鱼怪人，背生双翼，蹲坐在一块石头上。\n\n“这是....？”\n\n同时日志弹出公告。\n\n【昨夜共有一万三千人成功击杀异魔，其中一人更是完成了惊人的双杀！】|EXPLORATION|true

78|怪物扭蛋机 - 场景78|【系统将根据你们的战绩赠予一项特殊天赋。】\n\n【同时，怪物扭蛋机开放，你们可以往扭蛋机里投入怪物的尸体组织，获得扭蛋奖励，尸体将被强制回收。\n\n但请注意，不要往扭蛋机里乱扔垃圾，更不要丢入活物，这会惹恼扭蛋机的！】\n\n世界频道顿时炸开了锅。\n\n“这世界有怪物？都啥样的，有人见过吗?”\n\n“快放我回去，我什么都可以给你！”\n\n“居然有天赋奖励，亏了！\n\n昨晚有个骷髅怪撞我门，我没开，早知就开门搏一把了。”|COMBAT|true

79|怪物扭蛋机 - 场景79|“你开了，说不准就挂了。”\n\n“怪物扭蛋机？你们找到这玩意儿没？”\n\n“我找到了，就在船头甲板，是个大脸猫，还怪可爱的。”\n\n“我的怎么在船舱里，是个卡通机器人！”\n\n“靠，我的是小丑...真是吓死个人，还摆在船长室！”\n\n“你们每个人都不一样吗？”\n\n你转头，看向自己的扭蛋机，一个卡通版的章鱼怪人，张开大嘴，嗷嗷待哺，嘴上全是触须...\n\n【奖励发放，你获得天赋：？？？？】\n\n【解锁条件？？？？，次数0/3。】\n\n这是啥？|COMBAT|true

80|怪物扭蛋机 - 场景80|还需要解锁的？\n\n这也太坑了吧！\n\n你打开聊天频道。\n\n其他人也在问，这送的天赋怎么需要解锁。\n\n每个人的解锁条件都不一样，次数或多或少，多的要几万甚至上百万，少的则是几十次。\n\n你只需要3次，算是特别少的那种了。\n\n很快就有人发现了天赋解锁条件，都是一些简单条件。\n\n“我的解锁条件是走路，要走10万步，太坑了！”\n\n“你的还好，我的是呼吸300万次，随缘吧....”\n\n“你们还算有目标，我的是0/100，根本毫无头绪。”|DIALOGUE|true

81|怪物扭蛋机 - 场景81|“说不定是活过100天...”\n\n“这系统..你不想给天赋，可以不给！”\n\n你看了看自己的0/3，甩了甩头，决定随缘，先不管它了。\n\n你走进船舱，准备把里面的怪物尸体，换成扭蛋。\n\n船长骸骨是不能拿去扭蛋的，只有一具。\n\n所以你只拿了溺亡者的断手，将其投入章鱼人扭蛋机里。。\n\n才刚投入，这章鱼人扭蛋机的眼睛就亮了，发出红光，下巴的触须如彩带一般循环变色。\n\n你扭动它胸口的转盘，里头不断发出扭蛋碰撞的声响。\n\n氛围感拉满....|COMBAT|true

82|怪物扭蛋机 - 场景82|“还真是恶趣味！”你评价道。\n\n不一会儿，一颗光球滚了出来。\n\n你将它拿起，变成了一瓶幽蓝色的药剂。\n\n【名称：溺亡者之怨】\n\n【种类：消耗品】\n\n【品质：良品】\n\n【简介：服下后，理智-20，一分钟内将被视作溺亡者，不会受到低等异魔的主动攻击。】\n\n你眼前一亮。\n\n这东西倒是个不错的保命道具。\n\n在求生游戏中，这种道具价值可不低。\n\n世界频道也跟着热闹起来，一堆人晒出了自己的奖品。\n\n“我抽到一个令牌！”\n\n【名称：白骨令牌】\n\n【种类：遗物】|COMBAT|true

83|怪物扭蛋机 - 场景83|【品质：精品】\n\n【简介：可以召唤一只骷髅，操控它为你而战，持续15分钟，时间到了后，它将失去控制，改为攻击召唤者，死亡后尸体消失。\n\n冷却时间24小时。\n\n使用它，最好确保你能打得过骷髅。】\n\n“好强啊，卖我，我出一个亿！”\n\n“一个亿有屁用，这里得用海螺币，而且没有交易的手段，除非面基。”\n\n“我这匕首如何？”\n\n【名称：锯齿匕首】\n\n【种类：宝物】\n\n【品质：精品】|COMBAT|true

