# 第9章数据文件
# 格式: 场景号|标题|内容|类型|是否结局
# 用 | 分隔字段，用 \n\n 表示段落分隔

89|钓到了水果？ - 场景89|＜今日天气＞\n\n大晴天，适合钓鱼撒网。\n\n地点：起源之海\n\n日照时长：剩余8小时。\n\n气温：15~25℃。\n\n风力：1级。|NORMAL|true

90|钓到了水果？ - 场景90|【你钓到一条长腿沙丁鱼】\n\n【你钓到一条长腿沙丁鱼】\n\n【你钓到一块烂布】\n\n【.....】\n\n“FK！”\n\n你怒骂一具，捏起一条长腿沙丁鱼，一口咬掉其脑袋，然后连着内脏和大长腿一起生吞。\n\n你记得某位生存达人曾说过，去掉头，都可以吃....\n\n你很饿，所以钓一条就吃一条。\n\n至于生吃长腿沙丁鱼会导致理智下降，那不是你现在需要考虑的问题。\n\n人都要饿死了，管个屁的理智值？\n\n饿急眼了，啥都吃！|NORMAL|true

91|钓到了水果？ - 场景91|吃多了后，你还有新发现——理智的下降，是会随着同一事件反复发生，而衰减的。\n\n比如吃长腿沙丁鱼，你的理智现在只会下降1点，偶尔2点。\n\n这样持续下去，吃多了后再吃这种鱼，估计就习以为常，不掉理智了。\n\n而且你的精神经验值，正飞速的增长着。\n\n精神增长，应该和理智收到刺激有关。\n\n又钓了2小时。\n\n你感觉自己的身体变得更糟糕了，伤口变得瘙痒难耐。\n\n你强忍瘙痒，坚持不去挠，免得加重感染。|EXPLORATION|true

92|钓到了水果？ - 场景92|与此同时，因为腹泻的原因，你失去了大量水分和盐分。\n\n加上发烧，你的视线逐渐变得模糊起来，头重脚轻。\n\n【状态：受伤/尸毒感染（中度，发烧）/食物中毒（轻微，腹泻）】\n\n“再坚持一下，一定能钓到救命药品！”\n\n你强打精神，继续钓鱼，终于钓出了一个之前没见过的东西。\n\n【你钓到一颗眼球果】\n\n那是一个眼球，会眨眼，有拳头大小。\n\n【名称：眼球果】\n\n【简介：虽然外表诡异，但它是一种产自深渊的水果，微甜，可补充维生素，盐分和水分。】|NORMAL|true

93|钓到了水果？ - 场景93|你二话不说，一口就咬了上去，溅出黑色的浆液，手中眼球果微微震颤。\n\n【你的理智下降2】\n\n这果子虽然恐怖，但味道比沙丁鱼好太多了，里面的果肉沙沙的，微甜，你吃了个精光。\n\n吃完眼球果，你舒服了不少。\n\n腹泻基本停了，但尸毒感染还在。\n\n难道钓鱼不会出治尸毒的药？\n\n不可能！钓鱼佬什么都能钓到！\n\n可直到晚上，你都没有钓到医疗物品，淡水倒是钓到了一瓶，收获如下。|HORROR|true

94|钓到了水果？ - 场景94|【眼球果X2，长腿沙丁鱼X8，木料X10，布料X9，囊肿刺豚X1，淡水1L】\n\n其他的东西，都被你吃掉了。\n\n这淡水1L，就是一单位，可存储在船舱里，但取出的时候，需要容器。\n\n这船舱并非物理概念上的船舱。\n\n里面对于资源存放，比如木料，布料，淡水，钢铁这些，都是不可见的数据，需要时可以取出。\n\n你口干，已经把这瓶1.5L的农妇三拳干掉了三分之一。\n\n你必须省着点喝，淡水的出货率不高。|NORMAL|true

95|钓到了水果？ - 场景95|到了晚上，你不敢在甲板上逗留，结束钓鱼，回到了船长室。\n\n按惯例，你把燧发枪放在身侧，躺在床上睡觉。\n\n可发烧，以及伤口感染，不停折磨着你...\n\n这注定是个难眠的夜晚，而且还有噩梦诅咒....\n\n你睡不着，打开聊天频道看了起来。\n\n里面依旧热闹。\n\n但细心的人会发现，频道已经不再显示在线人数了。\n\n死人不会发声，消失的悄无声息....\n\n“我刚做了两根长矛，今晚骷髅敢来，我就让你爆金币！”|DIALOGUE|true

96|钓到了水果？ - 场景96|“兄弟，没玩过游戏吗，知不知道骷髅没有皮肉，自带穿刺抗性？\n\n你用长矛，还不如抡你的拳头呢！”\n\n“预定钢铁，还需982单位，具体和我私聊！”\n\n“钢铁雄心号，你小子还没死？”\n\n“奶奶个熊！你们都死了，爷爷我都不会死！”\n\n“你五节船速，怎么跑过黑雾的？”\n\n“给我钢铁我就告诉你！”\n\n“憋着！本大爷不想知道！”\n\n“.....”\n\n在所有船只的后方，有一艘钢铁战舰正在玩命狂奔。\n\n其身后不远，便是黑雾，正以十节的速度逼近。|NORMAL|true

97|钓到了水果？ - 场景97|海底全是鱼群，它们一样也害怕这黑雾，疯狂逃离。\n\n一位发福的中年男子站在舰桥，胡子拉碴，叼着香烟，手扶船舵。\n\n别看你聊天的时候嚣张恣意，但实际上你紧张的要死。\n\n一旦稍有松懈，你就会丧命。\n\n聊天是你为数不多释放压力的手段。\n\n你的船有充足补给，弹药无限，耐久惊人，唯独的缺点就是跑的太慢了，会被黑雾追上。\n\n而且你开局的位置，离黑雾很近。|DIALOGUE|true

98|钓到了水果？ - 场景98|好在天无绝人之路，你船上有巨型射鲸枪，那是一种刺入巨型海洋生物体内，就很难拔出的鱼叉。\n\n你现在就在寻找下一个目标，让这种海洋巨物拖着你跑，来提高你的船速。\n\n“奶奶的，这蠢鱼就不能多坚持一下？持久力这么差？”\n\n你收回鱼叉，瞄准下个目标，尽量挑游得快，体型大的下手。\n\n拜此所赐，到目前为止，你只睡了三小时。\n\n其他时间都在找目标，毕竟这巨鱼也是会流血，会累，会死的...|EXPLORATION|true

99|钓到了水果？ - 场景99|至于不长眼敢来攻击你的鱼，你会教它们，什么叫火力压制，什么叫文明的大炮！\n\n次日。\n\n你艰难醒来，头疼欲裂。\n\n你不知道自己何时睡着的，只知道自己梦见了一些不妙的东西，恶心想吐。\n\n这船比你想的更糟糕。\n\n如果没有其他恢复精力的手段，你的游戏效率将大幅降低。\n\n休息一个整晚，你的精力居然只回复了30。\n\n而且尸毒感染也更严重了。\n\n你的伤口已经不痒，只有微微刺疼，这并非好现象.....|COMBAT|true

